WKN;ISIN;TICKER;TYP;NAME;TRUENAMES
Australia;Australia;EWA;etf;Australia;Australia
New Zealand;New Zealand;ENZL;etf;New Zealand;New Zealand
Singapore;Singapore;EWS;etf;Singapore;Singapore
Japan;Japan;EWJ;etf;Japan;Japan
South Korea;South Korea;EWY;etf;South Korea;South Korea
Vietnam;Vietnam;VNM;etf;Vietnam;Vietnam
India;India;PIN;etf;India;India
Indonesia;Indonesia;EIDO;etf;Indonesia;Indonesia
Russia;Russia;ERUS;etf;Russia;Russia
Taiwan;Taiwan;EWT;etf;Taiwan;Taiwan
Hong Kong;Hong Kong;EWH;etf;Hong Kong;Hong Kong
China;China;GXC;etf;China;China
UAE;UAE;UAE;etf;UAE;UAE
South Africa;South Africa;EZA;etf;South Africa;South Africa
Nigeria;Nigeria;NGE;etf;Nigeria;Nigeria
Saudi Arabia;Saudi Arabia;KSA;etf;Saudi Arabia;Saudi Arabia
Israel;Israel;EIS;etf;Israel;Israel
Egypt;Egypt;EGPT;etf;Egypt;Egypt
Qatar;Qatar;QAT;etf;Qatar;Qatar
Turkey;Turkey;TUR;etf;Turkey;Turkey
