WKN;ISIN;TICKER;TYP;NAME;TRUENAMES;;;;;;
5MVL;iShares Edge MSCI EM Value Factor UCITS ETF USD (Acc);5MVL.DE;5MVL;iShares Edge MSCI EM Value Factor UCITS ETF USD (Acc);iShares Edge MSCI EM Value Factor UCITS ETF USD (Acc);;;;;5MVL;5MVL.DE.DE
MVEA;iShares Edge MSCI USA Minimum Volatility ESG UCITS ETF USD (Acc);MVEA.DE;MVEA;iShares Edge MSCI USA Minimum Volatility ESG UCITS ETF USD (Acc);iShares Edge MSCI USA Minimum Volatility ESG UCITS ETF USD (Acc);;;;;MVEA;MVEA.DE.DE
MVEE;iShares Edge MSCI Europe Minimum Volatility ESG UCITS ETF EUR (Acc);MVEE.DE;MVEE;iShares Edge MSCI Europe Minimum Volatility ESG UCITS ETF EUR (Acc);iShares Edge MSCI Europe Minimum Volatility ESG UCITS ETF EUR (Acc);;;;;MVEE;MVEE.DE.DE
MVEW;iShares Edge MSCI World Minimum Volatility ESG UCITS ETF USD (Acc);MVEW.DE;MVEW;iShares Edge MSCI World Minimum Volatility ESG UCITS ETF USD (Acc);iShares Edge MSCI World Minimum Volatility ESG UCITS ETF USD (Acc);;;;;MVEW;MVEW.DE.DE
WQDA;iShares MSCI World Quality Dividend UCITS ETF USD (Acc);WQDA.AS;WQDA;iShares MSCI World Quality Dividend UCITS ETF USD (Acc);iShares MSCI World Quality Dividend UCITS ETF USD (Acc);;;;;WQDA;WQDA.AS.DE
UEEH;iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Dist);UEEH.DE;UEEH;iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Dist);iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Dist);;;;;UEEH;UEEH.DE.DE
MVLD;iShares Edge MSCI Europe Minimum Volatility ESG UCITS ETF USD Hedged (Acc);MVLD.AS;MVLD;iShares Edge MSCI Europe Minimum Volatility ESG UCITS ETF USD Hedged (Acc);iShares Edge MSCI Europe Minimum Volatility ESG UCITS ETF USD Hedged (Acc);;;;;MVLD;MVLD.AS.DE
EUNZ;iShares Edge MSCI EM Minimum Volatility UCITS ETF USD (Acc);EUNZ.DE;EUNZ.F;iShares Edge MSCI EM Minimum Volatility UCITS ETF USD (Acc);iShares Edge MSCI EM Minimum Volatility UCITS ETF USD (Acc);;;;;EUNZ;
EUN0;iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Acc);EUN0.DE;EUN0.F;iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Acc);iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Acc);;;;;EUN0;
IQQ0;iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc);IQQ0.DE;IQQ0.F;iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc);iShares Edge MSCI World Minimum Volatility UCITS ETF USD (Acc);;;;;IQQ0;
IBCK;iShares Edge S&P 500 Minimum Volatility UCITS ETF USD (Acc);IBCK.DE;IBCK.DE;iShares Edge S&P 500 Minimum Volatility UCITS ETF USD (Acc);iShares Edge S&P 500 Minimum Volatility UCITS ETF USD (Acc);;;;;IBCK;
IS3S;iShares Edge MSCI World Value Factor UCITS ETF USD (Acc);IS3S.DE;IS3S.DE;iShares Edge MSCI World Value Factor UCITS ETF USD (Acc);iShares Edge MSCI World Value Factor UCITS ETF USD (Acc);;;;;IS3S;
IS3R;iShares Edge MSCI World Momentum Factor UCITS ETF USD (Acc);IS3R.DE;IS3R.DE;iShares Edge MSCI World Momentum Factor UCITS ETF USD (Acc);iShares Edge MSCI World Momentum Factor UCITS ETF USD (Acc);;;;;IS3R;
IS3Q;iShares Edge MSCI World Quality Factor UCITS ETF USD (Acc);IS3Q.DE;IS3Q.DE;iShares Edge MSCI World Quality Factor UCITS ETF USD (Acc);iShares Edge MSCI World Quality Factor UCITS ETF USD (Acc);;;;;IS3Q;
IS3T;iShares Edge MSCI World Size Factor UCITS ETF USD (Acc);IS3T.DE;IS3T.DE;iShares Edge MSCI World Size Factor UCITS ETF USD (Acc);iShares Edge MSCI World Size Factor UCITS ETF USD (Acc);;;;;IS3T;
CEMT;iShares Edge MSCI Europe Size Factor UCITS ETF EUR (Acc);CEMT.DE;CEMT;iShares Edge MSCI Europe Size Factor UCITS ETF EUR (Acc);iShares Edge MSCI Europe Size Factor UCITS ETF EUR (Acc);;;;;CEMT;
CEMR;iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc);CEMR.DE;CEMR;iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc);iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Acc);;;;;CEMR;
CEMQ;iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Acc);CEMQ.DE;CEMQ;iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Acc);iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Acc);;;;;CEMQ;
CEMS;iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Acc);CEMS.DE;CEMS;iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Acc);iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Acc);;;;;CEMS;
IBCZ;iShares Edge MSCI World Multifactor UCITS ETF USD (Acc);IBCZ.DE;IBCZ;iShares Edge MSCI World Multifactor UCITS ETF USD (Acc);iShares Edge MSCI World Multifactor UCITS ETF USD (Acc);;;;;IBCZ;
IBC0;iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Acc);IBC0.DE;IBC0;iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Acc);iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Acc);;;;;IBC0;
IBCY;iShares Edge MSCI USA Multifactor UCITS ETF;IBCY.DE;IBCY;iShares Edge MSCI USA Multifactor UCITS ETF;iShares Edge MSCI USA Multifactor UCITS ETF;;;;;IBCY;
QDVC;iShares Edge MSCI USA Size Factor UCITS ETF USD (Acc);QDVC.DE;QDVC;iShares Edge MSCI USA Size Factor UCITS ETF USD (Acc);iShares Edge MSCI USA Size Factor UCITS ETF USD (Acc);;;;;QDVC;
QDVI;iShares Edge MSCI USA Value Factor UCITS ETF USD (Acc);QDVI.DE;QDVI;iShares Edge MSCI USA Value Factor UCITS ETF USD (Acc);iShares Edge MSCI USA Value Factor UCITS ETF USD (Acc);;;;;QDVI;
QDVA;iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Acc);QDVA.DE;QDVA;iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Acc);iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Acc);;;;;QDVA;
QDVB;iShares Edge MSCI USA Quality Factor UCITS ETF USD (Acc);QDVB.DE;QDVB;iShares Edge MSCI USA Quality Factor UCITS ETF USD (Acc);iShares Edge MSCI USA Quality Factor UCITS ETF USD (Acc);;;;;QDVB;
IS31;iShares Edge S&P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc);IS31.DE;IS31;iShares Edge S&P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc);iShares Edge S&P 500 Minimum Volatility UCITS ETF EUR Hedged (Acc);;;;;IS31;IS31.DE.DE
SXR0;iShares Edge MSCI World Minimum Volatility UCITS ETF EUR Hedged (Acc);SXR0.DE;SXR0;iShares Edge MSCI World Minimum Volatility UCITS ETF EUR Hedged (Acc);iShares Edge MSCI World Minimum Volatility UCITS ETF EUR Hedged (Acc);;;;;SXR0;SXR0.DE.DE
IS07;iShares Edge MSCI World Multifactor UCITS ETF EUR Hedged (Acc);IS07.DE;IS07;iShares Edge MSCI World Multifactor UCITS ETF EUR Hedged (Acc);iShares Edge MSCI World Multifactor UCITS ETF EUR Hedged (Acc);;;;;IS07;IS07.DE.DE
QDVX;iShares MSCI Europe Quality Dividend UCITS ETF;QDVX.DE;QDVX;iShares MSCI Europe Quality Dividend UCITS ETF;iShares MSCI Europe Quality Dividend UCITS ETF;;;;;QDVX;QDVX.DE.DE
QDVW;iShares MSCI World Quality Dividend UCITS ETF;QDVW.DE;QDVW;iShares MSCI World Quality Dividend UCITS ETF;iShares MSCI World Quality Dividend UCITS ETF;;;;;QDVW;QDVW.DE.DE
IUQD;iShares Edge MSCI USA Quality Factor UCITS ETF USD (Dist);IUQD.L;IUQD;iShares Edge MSCI USA Quality Factor UCITS ETF USD (Dist);iShares Edge MSCI USA Quality Factor UCITS ETF USD (Dist);;;;;IUQD;IUQD.L.DE
IFSD;iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Dist);IFSD.L;IFSD;iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Dist);iShares Edge MSCI Europe Multifactor UCITS ETF EUR (Dist);;;;;IFSD;IFSD.L.DE
IUVD;iShares Edge MSCI USA Value Factor UCITS ETF USD (Dist);IUVD.L;IUVD;iShares Edge MSCI USA Value Factor UCITS ETF USD (Dist);iShares Edge MSCI USA Value Factor UCITS ETF USD (Dist);;;;;IUVD;IUVD.L.DE
IUMD;iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Dist);IUMD.L;IUMD;iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Dist);iShares Edge MSCI USA Momentum Factor UCITS ETF USD (Dist);;;;;IUMD;IUMD.L.DE
SPMD;iShares Edge S&P 500 Minimum Volatility UCITS ETF USD (Dist);SPMD.L;SPMD;iShares Edge S&P 500 Minimum Volatility UCITS ETF USD (Dist);iShares Edge S&P 500 Minimum Volatility UCITS ETF USD (Dist);;;;;SPMD;SPMD.L.DE
UFSD;iShares Edge MSCI USA Multifactor UCITS ETF USD (Dist);UFSD.L;UFSD;iShares Edge MSCI USA Multifactor UCITS ETF USD (Dist);iShares Edge MSCI USA Multifactor UCITS ETF USD (Dist);;;;;UFSD;UFSD.L.DE
IWVU;iShares Edge MSCI World Value Factor UCITS ETF USD (Dist);IWVU.L;IWVU;iShares Edge MSCI World Value Factor UCITS ETF USD (Dist);iShares Edge MSCI World Value Factor UCITS ETF USD (Dist);;;;;IWVU;IWVU.L.DE
IEMD;iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Dist);IEMD.L;IEMD;iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Dist);iShares Edge MSCI Europe Momentum Factor UCITS ETF EUR (Dist);;;;;IEMD;IEMD.L.DE
IEQD;iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Dist);IEQD.L;IEQD;iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Dist);iShares Edge MSCI Europe Quality Factor UCITS ETF EUR (Dist);;;;;IEQD;IEQD.L.DE
IEDL;iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Dist);IEDL.L;IEDL;iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Dist);iShares Edge MSCI Europe Value Factor UCITS ETF EUR (Dist);;;;;IEDL;IEDL.L.DE
MVED;iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Dist);MVED.L;MVED;iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Dist);iShares Edge MSCI Europe Minimum Volatility UCITS ETF EUR (Dist);;;;;MVED;MVED.L.DE
